Cutting speed,Feed rate,Tool nose radius,Depth of cut,Tool material,Workpiece material,Machining time,Spindle speed,Coolant use,Operator ID,Roughness
56.34,0.296,0.79,2.16,HSS,Brass,92.41,2194,0,OP017,69.6143018
290.66,0.418,0.96,0.12,Ceramic,Brass,145.63,1067,1,OP009,5562.870813
259,0.254,1.19,0.73,Ceramic,Aluminum,599.04,2005,0,OP018,1662.226297
223.99,0.34,0.51,2.02,HSS,Aluminum,338.58,2244,0,OP004,166.3292079
152.24,0.287,0.62,1.5,HSS,Aluminum,191.91,726,1,OP009,219.2538908
93.32,0.379,0.72,0.12,HSS,Steel,597.02,1744,0,OP016,1477.361478
89.11,0.087,0.74,2.43,Carbide,Steel,580.94,1158,1,OP004,311.9123977
112.56,0.077,0.73,2.34,HSS,Brass,281.22,2311,0,OP016,456.037296
187.31,0.161,1.13,1.69,Carbide,Steel,178.43,974,1,OP019,777.9054725
228.65,0.122,0.97,0.29,Ceramic,Brass,507.89,2731,0,OP001,6268.810062
215.05,0.442,0.89,2.32,Ceramic,Steel,437.9,1577,0,OP006,186.6462202
119.98,0.149,0.65,1.79,HSS,Steel,421.56,995,1,OP010,292.4037344
288.72,0.489,1.06,2.37,Ceramic,Steel,539.07,1595,0,OP016,264.0739303
234.47,0.202,1.16,2.28,Ceramic,Aluminum,422.97,1522,1,OP004,590.5532395
188.59,0.132,1.06,2.43,Ceramic,Steel,191.76,1572,0,OP013,623.2242175
202.93,0.405,0.4,1.6,Ceramic,Aluminum,425.5,1964,1,OP016,125.2654321
154.9,0.346,0.91,0.51,Carbide,Aluminum,204.31,1803,0,OP020,798.8155956
111.93,0.274,0.44,2.05,Carbide,Steel,462.77,874,0,OP006,87.67883212
138.99,0.3,0.61,1.9,HSS,Brass,383.26,664,0,OP011,148.7436842
239.46,0.374,0.45,2.25,HSS,Brass,74.12,2324,1,OP003,128.0534759
53.6,0.153,0.88,0.59,HSS,Brass,322.32,1899,1,OP020,522.5213249
79.02,0.498,0.95,0.67,Ceramic,Steel,225.68,1398,1,OP010,224.9865132
61.5,0.489,0.49,2.68,Ceramic,Brass,217.29,2521,1,OP001,22.99468913
60.18,0.343,0.71,2.27,Carbide,Aluminum,373.29,1470,1,OP020,54.87702444
263.87,0.14,0.76,2.73,Carbide,Brass,213.73,2490,0,OP011,524.7022501
225.91,0.356,0.7,2.3,HSS,Steel,472.83,1264,0,OP012,193.1326331
168.54,0.082,0.5,1.83,Carbide,Brass,70.35,682,0,OP014,561.5753699
74.46,0.064,0.74,2,Carbide,Aluminum,406.42,2832,0,OP008,430.471875
172.9,0.166,1,2.68,Carbide,Steel,491.24,1486,0,OP011,388.6441288
168.37,0.258,0.46,1.78,Carbide,Brass,413.51,2482,1,OP004,168.6486369
93.3,0.441,0.46,1.93,Carbide,Steel,313.42,1198,0,OP007,50.42472948
158.46,0.377,0.68,0.55,HSS,Steel,571.67,2116,1,OP010,519.6662648
149.63,0.384,1.15,1.47,HSS,Steel,200.96,2683,0,OP019,304.8371953
203.96,0.241,0.93,2.18,Carbide,Brass,40.93,604,1,OP004,361.0392478
208.77,0.206,0.94,0.89,HSS,Steel,276.23,2577,1,OP002,1070.381804
61.33,0.217,0.69,0.69,Ceramic,Brass,48.82,1928,1,OP018,282.6267281
143.65,0.494,0.87,1.01,Carbide,Aluminum,573.74,2019,0,OP014,250.4820219
206.46,0.068,0.41,0.8,Ceramic,Brass,149.65,1808,0,OP016,1556.040441
175.78,0.44,0.91,0.72,HSS,Aluminum,479.69,2686,0,OP011,504.9236111
264.12,0.31,1.13,1.33,HSS,Brass,471.51,609,0,OP010,723.8796992
214.67,0.247,0.89,2.73,Ceramic,Steel,154.11,1153,1,OP017,283.3360027
90.73,0.376,1.1,1.57,HSS,Brass,384.1,2689,1,OP014,169.0659303
67.64,0.269,0.98,0.64,Carbide,Steel,57.41,2381,1,OP004,385.0325279
210.6,0.443,0.5,0.32,Ceramic,Aluminum,305.64,544,1,OP019,742.8047404
56.63,0.455,1.12,2.12,Carbide,Brass,38.35,1793,0,OP002,65.7532656
196.44,0.24,0.45,1.21,Ceramic,Steel,555.05,1824,1,OP007,304.4008264
285.06,0.175,0.83,2.48,HSS,Aluminum,586.37,1502,0,OP009,545.1608295
193.87,0.317,0.51,2.01,Ceramic,Aluminum,156.7,1243,1,OP019,155.1763266
147.04,0.461,0.41,2.41,Ceramic,Brass,148.62,2204,1,OP016,54.26269791
210.82,0.145,0.74,0.89,Carbide,Aluminum,459.62,1019,1,OP016,1208.886478
164.56,0.33,0.64,2.11,HSS,Steel,174.43,2497,0,OP018,151.2543444
186.4,0.334,0.79,0.87,Carbide,Aluminum,540.19,2508,0,OP011,506.7657788
285.37,0.38,0.86,2.82,HSS,Aluminum,357.14,1538,1,OP007,229.0203434
146.53,0.109,0.43,1.95,Carbide,Steel,229.94,1209,1,OP009,296.4380146
290.3,0.372,0.5,1.04,Ceramic,Aluminum,504.64,1210,1,OP004,375.1809347
276.34,0.459,0.85,0.88,Carbide,Aluminum,311.24,1706,0,OP013,581.523569
98.95,0.131,0.67,0.65,HSS,Aluminum,549.63,2299,0,OP004,778.5848503
67.34,0.157,0.98,2.11,HSS,Aluminum,558.97,1397,0,OP019,199.2127268
75.19,0.487,0.92,0.73,Ceramic,Steel,124.29,2025,1,OP002,194.5790554
54.56,0.131,1.08,1.83,HSS,Aluminum,31.32,1456,0,OP009,245.7965211
73.61,0.434,0.95,0.87,Carbide,Steel,590.84,1261,1,OP012,185.20446
220.75,0.272,0.74,2.02,Ceramic,Aluminum,546.5,562,0,OP002,297.3118084
67.8,0.161,0.94,2.46,HSS,Aluminum,61.6,510,1,OP006,160.9150129
129.74,0.442,0.62,2.36,HSS,Aluminum,504.83,1068,1,OP005,77.11365902
261.22,0.25,0.65,2.31,Carbide,Aluminum,290.95,1516,0,OP005,294.0138528
55.82,0.282,1.03,0.64,Carbide,Steel,177.61,2628,1,OP020,318.5649379
253.62,0.212,0.76,0.36,Ceramic,Steel,530.89,2496,1,OP005,2525.566038
120.46,0.317,1.04,2.13,HSS,Steel,142.1,1168,1,OP004,185.5399061
79.54,0.124,1.06,1.17,Carbide,Brass,569.96,1111,0,OP009,581.1441963
224.18,0.226,1.09,1.35,Ceramic,Aluminum,147.2,1068,1,OP010,800.905277
207.24,0.486,1.13,0.19,HSS,Aluminum,379.8,1348,0,OP016,2536.075374
269.37,0.166,0.74,0.85,HSS,Steel,157.16,1745,0,OP010,1412.71297
233.77,0.346,0.66,0.2,Ceramic,Brass,341.03,1597,1,OP010,2229.598266
250.87,0.196,0.87,2.65,Ceramic,Aluminum,419.87,1046,0,OP019,420.209665
120.51,0.398,0.7,0.81,Carbide,Steel,138.43,826,1,OP010,261.6694584
94.36,0.109,0.88,1.72,HSS,Aluminum,326.9,531,0,OP006,442.9101771
237.65,0.486,0.96,0.21,HSS,Aluminum,297.36,885,1,OP017,2235.390947
251.71,0.254,0.95,2.03,HSS,Steel,70.49,2263,0,OP005,463.7611031
297.63,0.156,0.7,1.04,Ceramic,Steel,496.44,1109,1,OP006,1284.153107
153.15,0.083,0.53,2.7,Carbide,Aluminum,221.34,1672,1,OP015,362.2021419
143,0.126,0.74,2.68,HSS,Aluminum,357.51,1978,1,OP019,313.3736081
244.1,0.284,0.51,1.04,Ceramic,Steel,323.43,2717,1,OP018,421.4890303
135.2,0.202,1.11,2.71,HSS,Aluminum,322.56,2722,0,OP004,274.1441672
282.69,0.423,0.68,2.99,Carbide,Aluminum,91.12,2364,0,OP008,151.987476
264.6,0.244,0.52,2.49,HSS,Steel,271.38,588,1,OP016,226.4665218
157.25,0.162,0.42,2.55,Carbide,Aluminum,287.85,1938,0,OP019,159.8765432
237.72,0.328,0.92,0.82,Carbide,Aluminum,448.18,2466,1,OP020,813.1409875
238.64,0.368,0.91,1.77,HSS,Brass,508.81,543,1,OP003,333.3984279
75.78,0.125,0.67,0.3,HSS,Steel,340.64,1874,0,OP010,1353.936
275.64,0.125,0.46,0.38,Carbide,Brass,79.47,2644,0,OP002,2669.355789
176.31,0.067,0.73,3,Ceramic,Brass,165,1685,1,OP004,640.3298507
256.61,0.381,0.65,1.05,Carbide,Brass,124.01,510,0,OP006,416.9391326
130.01,0.349,0.94,2.27,HSS,Aluminum,101.03,528,1,OP011,154.2600003
273.88,0.264,0.88,2.44,HSS,Aluminum,238.56,1542,0,OP014,374.1530055
147.3,0.43,0.69,2.59,Ceramic,Brass,160.75,888,0,OP016,91.26066266
52.71,0.413,0.57,2.99,Carbide,Brass,154.43,2161,0,OP019,24.33025339
276.35,0.313,1.19,0.8,Carbide,Brass,61.18,2272,0,OP002,1313.324681
72.82,0.441,0.76,0.22,Carbide,Aluminum,40.07,945,0,OP017,570.430839
129.83,0.143,0.95,1.29,HSS,Brass,88.58,2721,1,OP009,668.6100721
287.52,0.1,0.51,0.48,Carbide,Brass,128.15,1605,0,OP017,3054.9
287.65,0.171,0.79,0.17,Ceramic,Steel,275.66,857,0,OP015,7817.113863
193.36,0.076,0.42,1.15,HSS,Steel,321,2411,1,OP007,929.1899314
207.96,0.289,0.8,2.37,HSS,Aluminum,110.14,2475,1,OP019,242.8978144
162.11,0.471,1.17,1.74,Carbide,Steel,272.13,2098,1,OP003,231.433121
123.3,0.068,0.71,1.01,Ceramic,Steel,224.8,2634,0,OP001,1274.650553
132.17,0.105,0.43,2,HSS,Steel,134.55,2343,0,OP004,270.6338095
218.13,0.253,0.42,0.77,HSS,Aluminum,33.9,2706,1,OP018,470.2766798
238.09,0.47,0.71,0.14,Carbide,Steel,296.2,1585,1,OP008,2569.056231
247.89,0.192,0.53,2.32,Carbide,Aluminum,420.82,2369,1,OP019,294.9481412
247.4,0.278,0.42,1.91,Ceramic,Brass,158.98,2999,1,OP006,195.6909865
72.8,0.069,1,2.31,Carbide,Steel,105.13,2312,0,OP001,456.7413263
173.61,0.117,0.77,0.21,Ceramic,Aluminum,535.61,785,0,OP008,5440.769231
64.39,0.494,0.63,2.53,HSS,Steel,186.76,1796,0,OP001,32.45723384
187.38,0.484,1.12,1.9,Ceramic,Brass,157.46,1968,0,OP019,228.2140061
160.38,0.052,0.49,1.73,Ceramic,Aluminum,518.55,936,0,OP011,873.5682526
271.93,0.478,1.16,1.91,Ceramic,Aluminum,495.75,2907,1,OP015,345.5046113
137.73,0.338,0.65,2.61,HSS,Aluminum,285.56,939,0,OP011,101.4809903
79.27,0.441,1.11,1.8,Carbide,Brass,308.87,944,1,OP019,110.8461829
85.75,0.255,0.88,1.78,HSS,Brass,154.12,2788,1,OP010,166.2480723
240.38,0.282,1.06,2.97,Carbide,Brass,74.63,1663,1,OP012,304.227619
204.55,0.27,1.19,2.29,Ceramic,Aluminum,356.86,658,0,OP001,393.683487
75.28,0.35,0.63,1.38,Ceramic,Brass,86.06,1995,1,OP007,98.19130435
71.03,0.113,1.17,2.15,Ceramic,Steel,286.09,2005,0,OP017,342.0666804
225.24,0.063,0.71,1.23,Ceramic,Brass,566.08,661,1,OP010,2063.755323
68.19,0.189,0.71,0.76,Ceramic,Aluminum,573.12,2931,0,OP006,337.0572264
255.47,0.367,0.67,1.83,Carbide,Steel,166.42,1860,1,OP017,254.857581
226.56,0.141,0.83,2.79,Carbide,Brass,385.74,1899,0,OP018,478.011134
70.34,0.353,0.52,2.79,Ceramic,Steel,300.22,1800,1,OP005,37.13870866
71.21,0.486,0.84,1.09,HSS,Steel,529.14,2027,1,OP018,112.9165251
296.66,0.092,0.83,1.63,HSS,Aluminum,184.72,1161,1,OP017,1641.956522
143.57,0.353,1.01,0.71,Ceramic,Steel,32.11,1218,1,OP016,578.5648167
142.66,0.25,1.07,2.99,Carbide,Steel,122.66,1778,0,OP008,204.2089632
253.2,0.441,0.75,2.95,HSS,Aluminum,229.23,2517,0,OP013,145.9702525
286.81,0.13,0.64,1.98,HSS,Aluminum,209.96,625,0,OP016,713.1250971
296.5,0.362,0.61,2.43,HSS,Aluminum,481.08,2009,1,OP011,205.6078485
238.34,0.427,0.56,2.17,Ceramic,Steel,417.92,2517,1,OP006,144.0447231
144.06,0.475,0.45,1.82,HSS,Steel,200.75,892,1,OP003,74.98785425
70.88,0.357,0.67,0.25,HSS,Steel,290.91,538,1,OP001,532.0963585
244.29,0.274,0.62,1.42,HSS,Aluminum,84.47,1282,1,OP018,389.2767554
189.6,0.328,1.17,2.06,HSS,Brass,541.94,1970,1,OP005,328.3092588
156.06,0.441,0.85,2.06,Carbide,Steel,563.19,846,0,OP013,146.0174361
276.59,0.307,0.68,1.18,Ceramic,Brass,588.49,1565,0,OP010,519.1884282
77.8,0.064,0.86,2.83,Ceramic,Aluminum,525.08,1881,0,OP005,369.4125442
173.16,0.469,0.51,0.59,Carbide,Steel,129.16,1997,0,OP014,319.1485671
52.84,0.36,0.76,1.55,Carbide,Brass,56.33,1186,0,OP017,71.96845878
167.17,0.354,0.9,2.1,Ceramic,Steel,360.37,1500,0,OP001,202.3849879
64.08,0.147,0.79,2.12,HSS,Steel,550.18,2446,0,OP002,162.4412784
79.7,0.346,0.72,1.98,HSS,Steel,131.09,2853,0,OP007,83.76248029
79.38,0.227,1.2,0.9,Ceramic,Brass,34.01,2655,1,OP010,466.2555066
212.3,0.343,1.1,0.55,HSS,Aluminum,489.13,1911,1,OP020,1237.900875
236.51,0.098,0.9,1.94,Carbide,Steel,73.77,1526,1,OP007,1119.603408
195.84,0.346,0.86,1.84,HSS,Aluminum,265.81,1332,1,OP016,264.5488816
290.54,0.5,0.9,0.62,HSS,Aluminum,416.97,812,1,OP005,843.5032258
143.72,0.072,0.56,2.14,HSS,Brass,164.97,766,1,OP012,522.3468328
121.43,0.49,0.72,1.42,Ceramic,Brass,77.86,2221,1,OP017,125.6533487
267.15,0.233,0.43,2.04,Carbide,Aluminum,468.91,1149,0,OP016,241.6782378
105.9,0.442,0.78,2.53,HSS,Steel,389.2,1137,0,OP020,73.86654266
290.81,0.402,0.83,0.59,Ceramic,Brass,593.44,2995,1,OP016,1017.675605
53.04,0.305,0.58,0.16,HSS,Steel,226.26,970,0,OP019,630.3934426
292.47,0.382,1.17,2.36,Carbide,Steel,65.2,870,0,OP015,379.5699485
60.79,0.445,1.13,1.87,HSS,Steel,448.58,747,0,OP012,82.54845881
272.79,0.232,0.98,2.13,Carbide,Aluminum,327.39,1950,0,OP010,540.9871297
181.93,0.197,0.83,2.53,HSS,Steel,151.53,2070,0,OP002,302.9672358
298.24,0.35,1.1,2.43,Carbide,Aluminum,475.59,1413,1,OP007,385.7307466
68.45,0.414,0.5,2.89,HSS,Aluminum,146.14,1839,0,OP013,28.60521873
188.46,0.393,1.03,1.65,Carbide,Steel,178.58,2471,1,OP003,299.3504511
292.33,0.409,0.5,1.52,HSS,Steel,82.74,2545,1,OP015,235.1129198
180.77,0.246,1.04,1.27,HSS,Steel,257.68,2895,1,OP001,601.7566097
207.35,0.418,0.62,0.55,Ceramic,Steel,268.79,2561,0,OP003,559.1866029
223.94,0.104,1.1,1.76,Ceramic,Aluminum,323.3,1912,1,OP010,1345.793269
163.64,0.295,1.16,0.9,Carbide,Steel,434.11,949,1,OP015,714.9619586
206.89,0.053,0.52,2.77,HSS,Steel,546.48,749,1,OP006,732.8029426
196.08,0.196,0.77,1.79,Carbide,Aluminum,108.51,636,1,OP020,430.3431764
275.29,0.215,1.18,1.82,Ceramic,Brass,60.98,2166,0,OP015,830.1615129
61.36,0.228,0.79,1.13,Carbide,Brass,40.56,2519,1,OP007,188.1478031
120.24,0.363,1.09,0.25,Carbide,Aluminum,111.86,1772,1,OP005,1444.204959
287.6,0.225,0.87,0.19,Ceramic,Brass,405.03,637,1,OP004,5852.912281
272.57,0.252,0.7,1.33,HSS,Aluminum,444.66,1839,1,OP018,569.2773601
163.91,0.157,0.63,0.35,Carbide,Steel,478.31,2839,0,OP003,1879.22293
205.03,0.218,0.56,1.86,Ceramic,Steel,168.91,1994,1,OP017,283.1626714
119.35,0.152,1.01,2.65,HSS,Brass,204.36,2524,1,OP018,299.2639027
97.03,0.083,0.71,2.66,Ceramic,Steel,305.39,2500,1,OP018,312.0359634
165.92,0.322,0.81,2.01,Carbide,Brass,66.01,2830,1,OP002,207.649949
138.34,0.351,0.79,0.71,HSS,Brass,378.35,2426,1,OP013,438.540187
195.91,0.329,0.86,2.6,HSS,Steel,590.73,2369,1,OP015,196.9635258
69.43,0.259,1.09,2.67,Ceramic,Steel,235.66,1085,0,OP005,109.4366116
293.6,0.221,1.18,0.67,Ceramic,Brass,459.12,650,1,OP003,2339.758222
296.55,0.439,0.73,2.24,Ceramic,Steel,315.02,1794,0,OP005,220.1447079
224.54,0.284,1.06,0.93,HSS,Aluminum,102.85,811,0,OP005,901.1525064
184.02,0.266,1.01,2.43,HSS,Steel,361.88,2905,1,OP005,287.5401467
127.38,0.062,0.86,2.99,Carbide,Steel,200.93,1225,0,OP003,590.9310605
253.45,0.204,1.16,0.19,HSS,Aluminum,49.61,2632,1,OP003,7585.190918
221.18,0.221,0.56,2.7,Carbide,Steel,391.91,1469,0,OP020,207.5763365
90.65,0.229,0.49,1.91,Ceramic,Steel,519.59,1308,1,OP018,101.5535335
277.73,0.311,1.08,2.92,Ceramic,Brass,226.52,2838,0,OP020,330.2959961
255.63,0.29,0.75,1.45,HSS,Steel,252.47,1408,0,OP004,455.9393579
287.45,0.324,1.08,2.56,Ceramic,Steel,537.88,1476,1,OP001,374.2838542
231.43,0.394,1.11,0.28,Ceramic,Aluminum,493.76,765,0,OP016,2328.565083
203.35,0.416,0.45,1.07,HSS,Brass,437.52,2176,0,OP008,205.5793943
154.56,0.373,1.11,0.29,Carbide,Brass,171.81,1222,0,OP017,1586.036794
283.18,0.48,0.76,2.93,HSS,Brass,548.82,1964,0,OP008,153.0267349
266.52,0.058,0.81,2.47,Carbide,Steel,118.02,1978,0,OP007,1506.918889
61.3,0.138,0.9,2.57,HSS,Brass,387.26,2298,1,OP008,155.5574353
56.59,0.053,1.14,2.82,HSS,Aluminum,46.42,2363,0,OP012,431.6378964
144.12,0.341,0.42,0.35,Ceramic,Brass,396.92,1786,0,OP016,507.1671554
252.64,0.454,0.78,1.22,HSS,Aluminum,187.97,1327,1,OP012,355.7795912
296.82,0.16,0.95,0.31,HSS,Brass,286.32,2594,1,OP019,5685.060484
87.6,0.467,0.98,0.71,Carbide,Brass,226.8,1275,1,OP010,258.9136532
198.53,0.077,0.95,0.77,Ceramic,Aluminum,128.47,1769,0,OP007,3181.033901
145.22,0.47,0.51,1.46,Carbide,Brass,384.53,1503,0,OP012,107.9309239
292.48,0.208,0.64,0.88,Carbide,Brass,532.73,2638,0,OP020,1022.657343
260.53,0.096,0.69,0.39,Ceramic,Brass,576.68,1580,0,OP005,4801.434295
259.58,0.269,1.04,0.59,Ceramic,Steel,139.64,1465,1,OP016,1700.984185
167.17,0.166,0.62,0.53,Ceramic,Aluminum,438.9,2225,1,OP009,1178.056376
153.7,0.178,0.57,2.92,HSS,Brass,408.67,2006,0,OP007,168.5566415
118.35,0.188,1.17,2.3,Ceramic,Aluminum,225.73,768,0,OP020,320.2347364
64.09,0.411,0.41,2.91,Ceramic,Aluminum,40.89,1770,0,OP014,21.97046847
266.18,0.293,1.2,1.38,Ceramic,Aluminum,423.18,2339,0,OP011,789.9688381
253.23,0.19,0.94,0.91,Carbide,Brass,568.93,2980,1,OP007,1376.727588
299.93,0.325,1.06,2.42,Carbide,Brass,390.31,2073,1,OP010,404.2286078
299.16,0.372,0.64,1.05,HSS,Aluminum,278.12,1426,0,OP009,490.1751152
188.86,0.173,0.41,0.97,Carbide,Steel,329.34,1065,1,OP004,461.4301889
242.25,0.236,0.99,0.77,HSS,Aluminum,143.79,2682,0,OP016,1319.763923
286.19,0.105,1.07,0.48,Carbide,Steel,457.81,2536,0,OP010,6075.859127
262.41,0.132,0.99,0.84,Ceramic,Aluminum,455.46,1085,1,OP019,2342.946429
111.84,0.357,0.51,1.13,Carbide,Aluminum,112.94,1002,0,OP017,141.3906448
162.64,0.132,1,2.05,HSS,Aluminum,530.45,2288,1,OP009,601.0347376
82.29,0.286,1.02,0.28,Carbide,Brass,183.44,1287,0,OP013,1048.149351
288.51,0.369,0.93,0.71,Ceramic,Steel,589.89,1266,1,OP001,1024.139471
201.54,0.098,1.01,2.45,HSS,Steel,248.25,881,0,OP002,847.7942524
107.16,0.305,1.08,0.53,Ceramic,Aluminum,131.39,1160,1,OP013,715.9467986
217.93,0.165,0.89,1.09,Ceramic,Brass,230.48,1569,0,OP009,1078.441479
204.53,0.483,0.47,2.61,HSS,Brass,280.9,2332,0,OP007,76.2548091
139.54,0.268,0.79,0.55,Ceramic,Steel,69.51,1341,1,OP016,747.8738128
78.39,0.413,0.46,0.34,Ceramic,Brass,359.58,1322,0,OP019,256.7967526
217.89,0.298,0.73,1.51,Carbide,Steel,370.65,1212,1,OP007,353.4817103
180.08,0.07,0.73,0.98,Ceramic,Steel,451.19,1696,1,OP006,1916.303207
243.08,0.335,0.45,1.73,Ceramic,Steel,46.63,952,0,OP018,188.7429903
180.04,0.478,0.68,2.43,Ceramic,Brass,338.51,1714,0,OP019,105.4007611
263.05,0.321,0.49,0.5,Ceramic,Steel,60.16,2260,0,OP011,803.0809969
187.98,0.419,1.05,1.78,HSS,Steel,429.65,574,0,OP012,264.6469658
190.23,0.448,1.16,1.57,Carbide,Aluminum,61.76,524,1,OP010,313.7323703
269.16,0.153,0.46,0.52,Ceramic,Steel,549.68,688,0,OP013,1556.229261
150.87,0.145,1.16,1.91,Ceramic,Steel,430.19,1839,0,OP012,631.9162304
83.5,0.325,0.82,0.89,HSS,Aluminum,319.21,2636,0,OP010,236.7156439
57.2,0.235,0.64,1.51,Ceramic,Aluminum,281.66,512,1,OP020,103.1647175
238.78,0.428,0.46,0.34,HSS,Brass,104.48,2842,0,OP018,754.8020891
205.08,0.455,0.8,1.43,Carbide,Steel,195.87,766,1,OP004,252.1539998
226.02,0.209,1.04,0.99,Carbide,Brass,525.31,2605,0,OP005,1136.053357
103.24,0.157,0.97,2.48,Ceramic,Brass,545.54,1707,1,OP005,257.1984796
84.09,0.401,0.44,0.27,Ceramic,Aluminum,30.43,2148,0,OP012,341.7345525
53.64,0.174,0.46,1.31,Ceramic,Brass,368.66,1777,0,OP003,108.2495394
137.65,0.42,0.72,1.43,HSS,Steel,440,1693,1,OP008,165.014985
197.48,0.241,0.64,2.2,Ceramic,Aluminum,382.69,2587,0,OP002,238.3764617
148.06,0.35,0.59,1.77,Ceramic,Steel,76.56,2390,0,OP018,141.0095238
159.37,0.093,0.62,2.03,Carbide,Steel,154.1,1709,0,OP009,523.3825944
276.04,0.331,1.04,2.35,Ceramic,Aluminum,172.69,779,1,OP013,369.0706434
137.06,0.253,1.14,2.6,Carbide,Steel,504.08,789,0,OP007,237.5317726
178.5,0.314,0.72,1.01,Ceramic,Aluminum,294.02,2504,1,OP010,405.2468941
245.91,0.126,1.12,1.66,Carbide,Steel,307.49,1823,1,OP009,1316.787149
149.14,0.382,0.66,2.54,Ceramic,Aluminum,562.89,1704,1,OP015,101.4474172
205.52,0.438,0.78,2.97,Carbide,Brass,393.14,2201,0,OP005,123.2304783
265.59,0.148,0.58,2.68,HSS,Steel,542.24,2647,1,OP012,388.3677894
287.38,0.093,0.91,1.18,Carbide,Aluminum,290.21,2072,1,OP001,2383.049025
86.77,0.061,1.18,0.67,Carbide,Steel,115.18,2407,0,OP012,2505.226327
281.65,0.339,0.88,1.52,Carbide,Steel,560.06,2413,1,OP006,481.0045024
173.03,0.323,0.69,2.25,Ceramic,Steel,291.46,1391,1,OP019,164.280289
114.56,0.296,0.92,1.53,Ceramic,Aluminum,133.53,1185,0,OP019,232.7221339
164.78,0.154,0.5,1.5,Ceramic,Brass,202.37,2503,0,OP016,356.6666667
295.01,0.226,1.11,2.53,HSS,Brass,58.96,1443,1,OP019,572.7047116
173.15,0.318,0.8,1.15,HSS,Brass,296.93,2758,0,OP003,378.7804211
132.19,0.274,0.76,2.59,Carbide,Aluminum,516.28,674,0,OP010,141.5669476
208.35,0.495,0.87,1.28,HSS,Brass,562.14,646,0,OP018,286.0866477
110.04,0.111,0.9,1.05,Carbide,Aluminum,561.58,2818,1,OP013,849.7297297
68.97,0.363,0.46,1.42,Carbide,Steel,101.38,2121,1,OP018,61.54929577
82.22,0.232,0.95,2.31,Carbide,Steel,247.77,1449,0,OP003,145.7474996
82.01,0.243,0.59,0.47,HSS,Brass,46.09,2388,1,OP003,423.657298
87.98,0.373,0.97,0.67,Ceramic,Aluminum,517.44,2181,0,OP012,341.4853347
84.71,0.362,1.06,2.86,HSS,Steel,234.49,1828,0,OP020,86.7293204
210.22,0.496,1.04,0.61,Carbide,Aluminum,389.74,747,0,OP007,722.5965098
95.47,0.108,0.84,1.75,Carbide,Aluminum,437.49,2530,0,OP008,424.3111111
136.42,0.097,0.82,1.78,HSS,Steel,275.01,2665,0,OP009,647.8883355
274.2,0.376,0.51,1.52,Carbide,Aluminum,204.67,930,1,OP014,244.6843505
168.49,0.31,1.02,1.97,Carbide,Steel,578.46,2626,1,OP005,281.4144424
216.89,0.173,0.62,0.77,HSS,Steel,579.76,2695,1,OP019,1009.472262
93.08,0.086,0.8,1.7,HSS,Steel,194.98,1874,1,OP016,509.3296854
98.07,0.089,0.63,1.18,HSS,Aluminum,303.39,2140,0,OP012,588.3079413
60.22,0.452,0.51,2.02,Carbide,Steel,584.52,1456,0,OP004,33.63729957
92.23,0.136,0.9,0.51,Carbide,Aluminum,32.77,1204,1,OP008,1196.756055
119.65,0.196,0.44,1.76,Ceramic,Steel,265.23,2305,1,OP007,152.6147959
94.25,0.152,1,0.64,Ceramic,Steel,87.26,2655,0,OP015,968.8527961
72.18,0.21,0.65,0.91,HSS,Brass,320.22,2135,0,OP006,245.5102041
80.16,0.081,0.4,0.73,Ceramic,Brass,44.06,1779,0,OP005,542.2628108
165.19,0.284,0.81,0.63,Carbide,Brass,261.93,897,1,OP014,747.8420523
101.58,0.08,0.44,2.49,Ceramic,Aluminum,155.8,634,0,OP013,224.373494
141.07,0.41,0.62,0.93,Carbide,Aluminum,333.99,1614,0,OP010,229.3821138
175.85,0.155,0.97,2.79,HSS,Steel,597.72,623,1,OP018,394.4375072
222.6,0.293,0.45,2.91,HSS,Steel,486.31,1923,1,OP004,117.4835509
59.83,0.446,1.07,1.76,Carbide,Steel,512.02,1457,1,OP008,81.55587546
249.85,0.343,0.4,0.51,Ceramic,Steel,392.1,2393,0,OP011,571.31424
206.98,0.29,0.6,1.19,HSS,Aluminum,53.69,1264,0,OP017,359.8609099
70.44,0.196,0.99,2.41,HSS,Steel,147.87,1982,1,OP018,147.6323143
268.39,0.2,0.65,1.17,Ceramic,Steel,557.29,1844,0,OP011,745.5277778
280.22,0.351,0.48,0.35,Ceramic,Brass,238.68,512,0,OP016,1094.876679
65.27,0.497,0.69,1.71,Carbide,Steel,89.07,681,0,OP012,52.99198701
119.22,0.348,0.62,2.55,Ceramic,Steel,430.37,1226,1,OP013,83.29546991
251.55,0.301,1.07,2.41,Ceramic,Steel,200.69,2706,1,OP016,371.0432721
237.06,0.379,0.65,0.61,Ceramic,Aluminum,183.25,868,0,OP001,666.5037415
96.13,0.259,1.03,2.05,Carbide,Brass,598.85,2277,0,OP016,186.4844147
102.34,0.077,1.11,0.74,Carbide,Steel,519.14,2933,0,OP015,1993.636364
142.62,0.303,0.75,0.73,HSS,Steel,262.52,2476,0,OP006,483.5887698
171.13,0.481,1.13,2.63,Carbide,Brass,588.75,1107,1,OP012,152.8634894
204.56,0.129,0.7,0.82,HSS,Steel,400.56,2771,1,OP008,1353.677444
142.23,0.361,1.17,0.86,Ceramic,Aluminum,452.95,733,0,OP007,536.0081814
