Layer thickness,Nozzle temp,Bed temp,Print speed,Material type,Model complexity,Print time,Printer type,Humidity,Cooling method,Defective
0.11,238,55,75,PETG,High,7.9,SLS,20,Fan,0
0.2,201,88,53,PLA,High,4.6,FDM,35,Passive,0
0.33,228,66,48,ABS,Medium,6.4,FDM,24,Passive,0
0.33,196,86,33,ABS,Low,8.4,SLA,38,Fan,0
0.26,203,87,41,PETG,High,0.8,SLS,37,Fan,0
0.19,218,82,61,PLA,High,0.6,SLS,45,Fan,0
0.39,230,98,37,Nylon,Medium,7.3,FDM,64,Passive,0
0.16,217,104,100,ABS,Medium,6.8,SLS,22,Passive,1
0.33,213,89,68,ABS,Low,3.7,FDM,22,Fan,0
0.28,191,101,77,PLA,Medium,7.7,SLS,67,Active cooling,0
0.35,259,59,33,PETG,Medium,8.6,SLS,31,Fan,1
0.36,226,71,82,ABS,Medium,1.3,FDM,45,Passive,1
0.18,260,79,56,ABS,Low,9.8,SLS,48,Fan,1
0.29,199,66,30,ABS,High,4.7,SLS,32,Fan,0
0.3,219,96,52,ABS,Medium,4.6,SLA,59,Fan,1
0.29,228,94,76,ABS,Low,1.1,SLS,44,Passive,0
0.23,245,65,40,Nylon,High,5.3,FDM,31,Passive,0
0.26,247,52,37,ABS,High,3.4,FDM,70,Passive,1
0.18,240,90,55,Nylon,Medium,3.2,SLS,24,Fan,0
0.12,202,85,71,ABS,High,3.0,SLA,20,Passive,0
0.39,202,62,37,ABS,Low,8.6,SLS,68,Fan,1
0.16,259,68,70,Nylon,High,1.1,SLA,58,Fan,1
0.32,207,108,50,PLA,Medium,4.7,SLS,38,Passive,0
0.2,257,105,91,Nylon,High,6.9,FDM,39,Fan,1
0.36,211,75,66,ABS,Medium,8.0,SLS,48,Active cooling,0
0.15,246,51,76,PETG,High,2.0,FDM,59,Active cooling,1
0.28,243,83,62,ABS,Low,4.4,FDM,33,Active cooling,0
0.27,252,102,56,PLA,High,4.3,SLS,26,Passive,1
0.28,199,101,34,PLA,Medium,6.9,SLS,30,Passive,0
0.15,226,107,47,PLA,Low,9.1,SLA,50,Passive,0
0.38,225,87,79,PLA,High,1.7,SLA,69,Active cooling,1
0.16,235,99,63,PLA,Medium,7.0,SLA,70,Active cooling,0
0.38,235,58,43,PETG,Low,4.1,SLS,46,Active cooling,0
0.17,223,52,90,ABS,High,7.4,FDM,22,Active cooling,1
0.36,227,52,30,ABS,High,1.0,SLA,57,Passive,1
0.24,207,57,65,Nylon,Low,2.1,SLA,31,Passive,0
0.18,235,107,55,ABS,Low,3.3,SLS,55,Passive,0
0.23,236,95,57,ABS,Low,4.7,SLS,61,Active cooling,1
0.11,259,84,49,PETG,Medium,4.6,SLS,36,Fan,1
0.19,243,68,70,PLA,Medium,5.1,SLS,69,Active cooling,0
0.27,245,80,58,Nylon,High,2.1,SLA,65,Active cooling,1
0.38,213,53,38,Nylon,Medium,8.5,SLA,27,Passive,0
0.3,245,106,80,PLA,High,3.3,FDM,48,Fan,0
0.3,205,109,33,ABS,Medium,1.4,FDM,27,Passive,0
0.29,239,95,99,ABS,Medium,3.1,SLA,45,Fan,1
0.19,195,77,61,PLA,Medium,7.6,FDM,26,Active cooling,0
0.3,192,93,51,PETG,Medium,1.1,SLA,28,Fan,0
0.12,205,86,93,PETG,Medium,8.7,FDM,36,Active cooling,1
0.11,226,86,62,PLA,High,1.7,FDM,66,Passive,1
0.19,238,91,89,ABS,Low,2.6,SLA,51,Active cooling,1
0.28,204,83,45,PLA,Low,0.9,SLA,34,Fan,0
0.37,222,61,38,PLA,High,4.8,FDM,65,Passive,1
0.37,256,89,61,PETG,Low,6.1,SLA,31,Passive,1
0.12,228,52,48,ABS,High,7.8,SLA,39,Passive,0
0.15,234,81,48,PETG,Medium,1.6,FDM,22,Fan,0
0.32,211,56,44,ABS,Low,8.8,FDM,43,Active cooling,0
0.12,228,58,74,PETG,High,9.8,FDM,37,Fan,0
0.26,209,62,98,ABS,High,0.6,SLS,60,Passive,1
0.18,258,78,88,Nylon,Low,9.1,SLA,56,Fan,1
0.37,199,95,97,PETG,High,1.5,SLS,66,Passive,1
0.1,251,61,71,PLA,Medium,5.2,FDM,45,Fan,1
0.3,214,101,97,PETG,High,4.8,FDM,41,Passive,1
0.31,220,97,96,Nylon,Low,8.2,SLS,28,Passive,1
0.24,197,63,96,ABS,Low,4.2,SLS,21,Passive,1
0.28,232,94,47,Nylon,Low,5.5,SLA,44,Active cooling,0
0.2,246,70,82,ABS,High,4.5,SLA,38,Fan,1
0.37,190,71,99,PETG,High,9.2,FDM,34,Fan,1
0.14,225,100,65,ABS,Medium,9.2,SLS,67,Passive,1
0.39,238,60,43,Nylon,High,5.7,SLA,45,Active cooling,0
0.32,197,81,34,PETG,Medium,1.6,SLA,63,Active cooling,0
0.23,231,86,94,PLA,Medium,6.8,FDM,55,Fan,1
0.35,253,87,49,PLA,Low,3.4,SLS,31,Active cooling,1
0.22,251,74,89,ABS,Medium,6.4,SLS,57,Fan,1
0.28,236,95,36,Nylon,High,5.9,FDM,30,Passive,0
0.23,202,72,34,Nylon,Medium,2.0,FDM,21,Fan,0
0.17,193,61,47,ABS,High,4.9,SLA,50,Fan,0
0.39,252,71,50,PLA,Low,5.0,FDM,55,Active cooling,1
0.12,201,84,72,ABS,Medium,3.2,FDM,58,Fan,1
0.11,245,103,90,PETG,High,9.6,FDM,53,Active cooling,1
0.3,221,95,56,PLA,Medium,9.8,SLA,63,Passive,0
0.33,240,78,69,Nylon,Low,4.8,FDM,47,Active cooling,0
0.31,259,77,97,Nylon,Medium,4.5,SLS,27,Passive,1
0.12,201,68,95,PLA,Medium,3.8,SLA,55,Fan,1
0.23,200,100,66,PLA,Medium,4.8,SLS,48,Passive,0
0.23,238,83,76,PETG,Low,2.7,SLS,40,Active cooling,0
0.17,231,67,51,PLA,Low,3.3,FDM,59,Fan,0
0.35,231,86,47,ABS,Medium,3.0,SLS,25,Active cooling,0
0.28,203,56,96,Nylon,Medium,6.2,FDM,34,Active cooling,1
0.31,226,75,39,PETG,Medium,4.7,SLA,57,Fan,0
0.25,210,65,56,ABS,Medium,2.9,SLS,29,Passive,0
0.12,227,79,91,ABS,High,2.9,FDM,43,Fan,1
0.35,242,50,73,PLA,Low,3.4,SLA,25,Passive,0
0.21,258,65,49,PLA,High,8.0,SLA,21,Active cooling,1
0.24,217,88,55,PETG,Low,8.0,SLS,58,Active cooling,0
0.1,253,83,48,PLA,Medium,3.6,FDM,66,Passive,1
0.37,209,92,33,PETG,Medium,8.0,FDM,28,Fan,0
0.33,250,86,38,Nylon,Medium,1.0,FDM,70,Passive,0
0.37,242,87,80,Nylon,Low,5.3,SLS,25,Passive,0
0.24,235,74,96,PETG,Low,5.3,SLA,37,Active cooling,1
0.2,251,67,51,PETG,Low,6.5,FDM,48,Active cooling,1
0.1,216,90,66,PLA,Low,8.8,SLS,58,Passive,0
0.11,252,74,31,PLA,Low,6.1,SLS,40,Active cooling,1
0.28,215,57,68,ABS,Low,7.6,SLS,27,Active cooling,0
0.13,241,65,74,PLA,High,2.0,SLS,20,Passive,0
0.13,219,103,85,Nylon,Low,2.5,FDM,24,Fan,1
0.33,252,57,92,PLA,Low,8.5,FDM,69,Passive,1
0.17,246,91,54,ABS,High,4.7,SLS,67,Active cooling,1
0.38,206,96,92,PLA,Low,8.0,SLS,26,Fan,1
0.16,237,108,38,PLA,Low,9.0,FDM,44,Passive,0
0.28,259,55,56,Nylon,High,6.0,FDM,33,Fan,1
0.35,192,59,59,ABS,High,2.2,SLS,66,Passive,1
0.26,250,92,94,ABS,Low,9.1,SLA,61,Passive,1
0.16,196,65,83,PETG,Medium,5.5,FDM,24,Fan,1
0.38,194,86,45,Nylon,Low,8.7,SLS,58,Active cooling,0
0.24,204,93,92,PLA,Low,6.6,SLA,69,Passive,1
0.34,220,72,83,PETG,Low,3.9,SLS,51,Passive,1
0.15,194,86,57,ABS,Low,6.4,FDM,60,Fan,1
0.21,218,69,92,ABS,Medium,3.8,SLA,58,Passive,1
0.27,240,54,31,ABS,Low,4.1,SLA,62,Fan,1
0.29,210,70,89,Nylon,Medium,7.1,FDM,21,Fan,1
0.23,221,85,95,ABS,Medium,4.1,FDM,29,Passive,1
0.35,239,104,63,ABS,Medium,4.1,FDM,36,Passive,0
0.35,211,110,89,ABS,Medium,6.9,SLS,69,Passive,1
0.36,241,91,44,PETG,Medium,4.7,SLA,33,Fan,0
0.24,255,103,93,ABS,Low,1.5,SLA,45,Fan,1
0.3,216,78,95,PLA,High,8.0,SLA,36,Fan,1
0.28,214,52,87,Nylon,Medium,3.9,SLS,59,Active cooling,1
0.15,200,104,35,PLA,Low,4.9,SLS,55,Passive,0
0.18,255,89,71,ABS,Medium,6.7,FDM,66,Active cooling,1
0.11,205,58,49,Nylon,Medium,7.2,SLA,22,Passive,0
0.25,217,81,91,Nylon,High,3.2,FDM,27,Active cooling,1
0.3,195,109,48,Nylon,High,3.6,SLS,62,Fan,1
0.27,239,73,40,PLA,High,0.6,SLS,20,Fan,0
0.15,190,67,47,ABS,Low,9.8,SLA,36,Fan,0
0.25,197,97,40,PLA,Low,3.2,FDM,37,Passive,0
0.21,226,99,38,ABS,High,5.0,SLS,49,Fan,0
0.11,223,64,42,ABS,Medium,1.4,SLA,42,Passive,0
0.29,255,60,83,Nylon,Low,3.3,FDM,23,Fan,1
0.12,190,65,34,Nylon,High,5.4,SLS,69,Fan,1
0.25,242,51,65,PETG,Low,2.3,SLA,68,Active cooling,0
0.16,207,103,80,Nylon,Medium,7.9,FDM,37,Active cooling,0
0.17,218,92,39,PLA,High,7.9,SLS,39,Active cooling,0
0.23,235,66,98,PETG,Medium,5.4,SLS,60,Fan,1
0.2,193,58,36,PLA,Medium,7.2,SLA,40,Active cooling,0
0.32,238,57,59,PETG,Low,8.4,FDM,54,Fan,0
0.14,249,66,53,PLA,Low,9.0,SLS,48,Fan,0
0.18,260,59,89,Nylon,Low,3.1,SLA,35,Passive,1
0.27,257,98,95,ABS,Medium,8.3,SLA,60,Fan,1
0.12,247,64,55,PETG,Medium,8.2,FDM,57,Active cooling,0
0.23,229,97,31,Nylon,High,7.0,FDM,38,Fan,0
0.27,205,102,30,PLA,Medium,2.6,SLA,60,Active cooling,0
0.33,249,93,71,PLA,Medium,3.4,SLA,62,Fan,0
0.21,210,83,71,ABS,Low,2.9,FDM,47,Active cooling,0
0.2,200,110,44,Nylon,Medium,2.2,FDM,23,Fan,0
0.37,227,91,36,ABS,Medium,8.1,FDM,41,Fan,0
0.14,231,86,99,PLA,Medium,7.3,SLS,30,Fan,1
0.34,205,72,46,ABS,High,6.4,SLS,36,Fan,0
0.19,237,74,49,PETG,Low,8.1,SLA,63,Fan,0
0.1,234,98,79,PETG,Medium,9.3,SLS,69,Passive,0
0.19,240,71,31,ABS,High,3.0,FDM,64,Fan,1
0.29,207,73,85,PETG,Medium,3.5,SLA,48,Passive,1
0.37,200,86,57,PETG,Medium,2.9,SLS,56,Passive,0
0.17,222,85,50,ABS,Medium,0.8,SLA,38,Passive,0
0.27,257,62,32,PLA,Medium,8.7,SLA,66,Active cooling,1
0.2,256,96,94,PETG,High,1.0,SLA,42,Fan,1
0.28,230,101,88,PETG,High,3.1,SLA,55,Active cooling,1
0.13,242,110,48,PETG,Low,2.6,SLA,35,Fan,0
0.21,194,76,69,PETG,Low,3.5,SLA,66,Passive,0
0.32,211,102,51,PLA,Medium,3.7,SLA,35,Passive,0
0.17,252,107,72,ABS,Medium,8.5,SLA,48,Active cooling,1
0.3,232,50,88,ABS,High,4.5,FDM,20,Fan,1
0.2,230,64,66,PLA,Low,8.6,FDM,43,Fan,0
0.13,244,61,62,ABS,Medium,3.1,SLA,44,Fan,0
0.11,239,50,68,PLA,Medium,2.2,FDM,33,Passive,0
0.25,235,86,39,ABS,High,2.0,SLS,31,Fan,0
0.19,244,62,71,ABS,Medium,2.7,SLA,51,Passive,0
0.33,260,52,48,PETG,High,1.3,SLA,64,Active cooling,1
0.37,214,80,96,PETG,Medium,3.0,SLA,67,Fan,1
0.15,191,56,79,PLA,High,5.6,SLS,61,Active cooling,1
0.36,252,91,36,ABS,Medium,7.5,SLA,30,Active cooling,1
0.31,190,109,54,Nylon,Low,5.4,FDM,68,Passive,0
0.28,221,85,42,PETG,Low,7.7,SLA,25,Passive,0
0.22,197,62,99,PLA,Low,3.6,FDM,60,Passive,1
0.13,207,86,82,Nylon,High,2.1,FDM,58,Passive,1
0.12,217,108,88,PLA,Low,6.5,SLS,26,Passive,1
0.15,205,62,34,PETG,High,8.9,FDM,44,Passive,0
0.31,234,63,100,ABS,Medium,7.6,FDM,59,Active cooling,1
0.14,242,69,85,PLA,Medium,8.6,SLA,60,Fan,1
0.2,204,73,81,PETG,Low,8.5,SLS,31,Fan,1
0.12,199,87,91,PETG,High,6.9,SLA,50,Passive,1
0.23,197,63,76,PLA,High,4.8,SLA,62,Fan,1
0.19,190,62,35,PETG,High,3.1,SLA,40,Fan,0
0.18,226,87,98,PETG,Medium,4.8,SLA,46,Fan,1
0.19,233,77,37,ABS,High,0.7,SLA,21,Fan,0
0.23,226,63,79,Nylon,Low,0.7,SLS,69,Fan,0
0.24,252,95,51,Nylon,Low,5.7,SLA,54,Fan,1
0.32,196,72,38,PETG,Medium,1.1,SLA,67,Passive,0
0.39,259,79,93,ABS,High,5.0,FDM,28,Fan,1
0.19,192,90,32,PETG,High,2.9,FDM,20,Fan,0
0.11,238,51,66,Nylon,Medium,4.2,SLS,56,Passive,0
0.15,217,54,56,Nylon,Low,5.5,SLA,66,Fan,0
0.1,229,99,92,PETG,High,4.2,SLA,43,Passive,1
0.15,216,69,67,Nylon,Medium,5.5,FDM,67,Fan,0
0.11,220,107,58,PLA,Medium,3.1,SLA,35,Passive,0
0.4,200,50,91,ABS,Medium,4.8,FDM,51,Active cooling,1
0.16,231,68,31,Nylon,High,2.5,SLA,44,Passive,0
0.3,209,69,77,PETG,Low,6.8,SLA,69,Active cooling,0
0.22,217,96,80,ABS,High,4.5,SLA,69,Passive,1
0.32,231,94,99,PLA,High,2.6,SLA,46,Passive,1
0.11,259,76,45,PETG,High,0.8,SLA,31,Passive,1
0.34,225,97,30,Nylon,Low,1.1,SLA,53,Passive,0
0.33,198,69,34,PETG,Medium,5.3,FDM,60,Fan,0
0.24,236,64,54,PLA,Medium,6.8,SLS,64,Fan,0
0.22,196,53,67,ABS,Low,1.5,FDM,69,Fan,1
0.39,250,67,73,ABS,Low,5.5,SLA,53,Fan,0
0.24,209,70,95,ABS,Low,9.4,FDM,50,Passive,1
0.35,216,77,94,PLA,Medium,8.2,FDM,36,Passive,1
0.16,258,106,71,ABS,Medium,9.2,SLS,56,Passive,1
0.24,216,96,58,PLA,High,2.3,SLS,35,Active cooling,0
0.11,207,76,30,Nylon,Medium,2.2,FDM,20,Fan,0
0.31,243,94,35,Nylon,Low,2.1,FDM,61,Active cooling,0
0.15,228,88,94,PETG,Medium,1.8,SLS,36,Active cooling,1
0.3,259,100,59,PLA,High,4.7,SLA,20,Fan,1
0.16,244,87,51,PETG,High,5.8,SLA,61,Passive,1
0.27,221,92,67,PETG,Low,1.8,FDM,46,Fan,0
0.39,214,85,69,ABS,Low,1.7,SLS,38,Fan,0
0.36,215,101,45,PLA,Medium,9.9,FDM,48,Fan,0
0.27,193,77,44,Nylon,High,2.5,SLA,67,Passive,1
0.18,246,97,66,ABS,Low,8.7,SLS,63,Fan,1
0.35,254,86,49,Nylon,Medium,2.2,FDM,55,Passive,1
0.27,235,56,66,PLA,High,8.3,SLS,26,Passive,0
0.13,228,56,33,ABS,High,8.0,SLA,43,Active cooling,0
0.27,198,53,30,PETG,High,4.0,SLS,52,Passive,1
0.35,191,64,65,Nylon,Medium,7.8,SLA,70,Fan,0
0.1,230,97,47,Nylon,Low,7.3,SLS,29,Active cooling,0
0.39,207,77,57,PLA,High,3.7,FDM,55,Active cooling,1
0.19,238,106,41,ABS,Medium,1.1,SLS,67,Passive,1
0.3,205,103,69,PETG,Medium,4.2,SLA,27,Active cooling,0
0.34,252,64,38,ABS,Low,0.6,SLS,49,Fan,1
0.3,249,92,35,Nylon,Low,6.0,SLA,33,Fan,0
0.33,212,92,74,Nylon,Low,2.6,FDM,48,Fan,0
0.12,252,63,85,ABS,High,6.2,SLS,65,Active cooling,1
0.29,252,109,45,ABS,Low,7.9,SLS,68,Passive,1
0.21,228,56,71,PLA,Low,7.7,FDM,22,Active cooling,0
0.29,246,75,37,PLA,Medium,1.3,FDM,36,Passive,0
0.19,240,96,73,PLA,Medium,2.7,SLA,58,Active cooling,0
0.33,240,86,43,PLA,High,6.5,FDM,40,Active cooling,0
0.21,259,98,38,PLA,Medium,1.6,SLS,51,Passive,1
0.4,235,84,32,ABS,Medium,9.6,SLA,57,Passive,1
0.39,208,93,74,PLA,Low,7.3,SLA,32,Passive,0
0.37,228,107,37,ABS,Medium,5.5,SLA,48,Passive,0
0.38,246,50,58,ABS,High,4.4,SLA,23,Passive,0
0.25,214,98,45,ABS,Low,1.4,SLA,66,Active cooling,1
0.4,197,50,80,Nylon,Low,4.4,SLS,30,Fan,0
0.29,216,65,97,Nylon,Medium,1.8,FDM,21,Fan,1
0.31,243,101,32,Nylon,Medium,3.5,SLS,45,Fan,0
0.38,216,94,47,Nylon,Low,3.3,SLA,45,Fan,0
0.37,199,66,89,PETG,Low,7.8,SLS,39,Passive,1
0.2,228,104,82,ABS,Medium,2.9,SLA,54,Active cooling,1
0.32,250,75,85,ABS,High,5.5,SLS,38,Fan,1
0.37,252,68,81,PLA,Medium,1.5,SLA,38,Passive,1
0.34,204,88,80,PLA,High,5.5,SLA,44,Fan,0
0.4,205,82,43,PETG,High,7.4,FDM,54,Fan,1
0.11,222,96,41,PLA,Low,1.4,SLS,33,Passive,0
0.32,251,106,54,PETG,High,7.6,SLS,53,Fan,1
0.25,211,80,35,PLA,Medium,8.7,FDM,36,Passive,0
0.29,224,78,87,Nylon,Low,1.1,FDM,38,Passive,1
0.28,193,95,44,PETG,Low,9.7,FDM,24,Passive,0
0.4,207,51,93,Nylon,High,1.3,FDM,68,Fan,1
0.2,255,84,88,PLA,Medium,4.5,SLA,24,Passive,1
0.14,250,61,40,ABS,Low,9.3,FDM,23,Active cooling,0
0.2,256,84,55,PLA,Medium,3.2,SLS,46,Fan,1
0.27,253,77,50,ABS,Low,5.5,FDM,34,Passive,1
0.26,208,85,39,PETG,High,8.4,SLA,51,Active cooling,1
0.12,233,77,56,PLA,Low,6.0,SLS,48,Active cooling,0
0.28,194,89,57,Nylon,Medium,6.3,FDM,50,Passive,0
0.35,227,63,60,PLA,Medium,6.1,FDM,23,Passive,0
0.22,254,76,46,Nylon,High,4.2,FDM,28,Active cooling,1
0.33,241,77,49,PETG,Low,9.7,SLS,63,Passive,0
0.13,248,52,59,PETG,High,1.0,FDM,26,Fan,0
0.2,257,72,82,PLA,High,1.8,FDM,42,Passive,1
0.16,217,90,83,Nylon,Medium,3.5,FDM,44,Passive,1
0.16,243,89,60,Nylon,Low,5.8,FDM,48,Passive,0
0.32,230,81,67,PLA,Medium,2.2,FDM,55,Passive,0
0.31,240,67,55,ABS,Low,2.1,SLA,42,Fan,0
0.25,207,59,67,PETG,Low,9.0,SLA,69,Passive,0
0.34,192,71,93,Nylon,High,8.0,SLA,40,Passive,1
0.3,239,70,36,PLA,Low,2.1,SLA,64,Passive,0
0.19,223,110,70,Nylon,High,6.3,SLA,45,Fan,0
0.27,243,61,41,PLA,Low,5.2,FDM,28,Active cooling,0
0.26,223,82,65,PETG,Low,4.8,SLA,37,Active cooling,0
0.35,249,53,82,ABS,Medium,4.5,SLA,54,Passive,1
0.23,224,75,57,PLA,Low,2.4,FDM,50,Passive,0
0.39,202,73,41,PETG,High,4.1,SLS,69,Active cooling,1
0.22,242,67,58,Nylon,Medium,9.2,SLS,66,Fan,0
0.11,190,73,76,PLA,High,8.4,FDM,33,Active cooling,0
0.21,250,76,43,PETG,Medium,2.6,FDM,45,Active cooling,0
0.35,199,52,65,Nylon,High,7.8,SLA,39,Passive,0
0.15,191,104,95,ABS,Medium,7.9,FDM,70,Fan,1
0.22,260,58,52,Nylon,High,1.6,SLA,52,Fan,1
0.37,242,52,91,Nylon,Medium,4.1,FDM,70,Active cooling,1
0.23,190,96,89,Nylon,Medium,7.3,SLA,68,Active cooling,1
0.34,207,70,31,Nylon,Medium,7.0,SLA,59,Passive,0
0.37,200,98,73,Nylon,Medium,1.6,SLS,20,Passive,0
0.3,203,106,86,ABS,Medium,3.7,FDM,55,Active cooling,1
0.25,223,51,35,ABS,Medium,8.4,SLS,52,Active cooling,0
0.29,219,107,65,ABS,Medium,2.4,FDM,58,Active cooling,1
0.2,192,95,57,PETG,Medium,2.0,SLS,46,Active cooling,0
0.31,253,71,83,PETG,Medium,8.1,SLS,64,Fan,1
0.36,195,109,86,PLA,High,7.8,FDM,21,Fan,1
0.24,256,92,71,ABS,Medium,8.0,SLS,60,Passive,1
0.3,247,55,46,ABS,High,7.8,FDM,36,Passive,0
0.21,205,58,94,PLA,High,4.5,FDM,52,Active cooling,1
0.33,232,62,74,ABS,Low,9.6,FDM,26,Passive,0
0.3,193,55,67,PLA,High,5.5,FDM,20,Fan,0
0.2,257,107,54,ABS,High,5.3,SLS,49,Active cooling,1
0.26,210,73,100,Nylon,Low,2.1,SLA,61,Active cooling,1
0.28,240,102,74,PETG,Low,2.2,SLS,20,Fan,0
0.19,191,73,75,PETG,Low,2.8,SLS,21,Passive,0
0.37,213,63,44,PETG,Low,1.8,SLS,45,Active cooling,0
0.36,193,55,84,Nylon,Medium,6.1,SLA,59,Active cooling,1
0.18,257,54,70,ABS,Low,9.7,FDM,39,Active cooling,1
0.29,230,74,50,Nylon,Medium,5.6,FDM,48,Fan,0
0.35,226,103,98,Nylon,Low,2.8,SLA,38,Passive,1
0.15,241,81,34,Nylon,High,3.5,FDM,39,Active cooling,0
0.34,194,65,89,ABS,Low,1.1,SLA,28,Active cooling,1
0.35,214,89,100,Nylon,High,8.2,SLS,22,Passive,1
0.11,260,72,33,Nylon,High,2.0,SLA,49,Fan,1
0.22,198,103,67,PLA,High,3.6,SLA,48,Passive,0
0.11,245,100,60,PLA,Medium,6.1,SLA,49,Active cooling,0
0.1,208,73,48,PLA,Low,1.9,SLA,27,Active cooling,0
0.34,247,104,84,Nylon,Low,4.8,SLA,47,Passive,1
0.34,200,62,69,Nylon,Low,5.1,FDM,51,Fan,0
0.23,235,86,47,Nylon,High,4.5,SLA,67,Active cooling,1
0.2,210,92,97,PLA,Medium,9.8,SLS,41,Passive,1
0.36,206,63,100,ABS,High,9.5,SLS,54,Active cooling,1
0.3,219,51,86,PETG,Medium,4.7,SLS,54,Active cooling,1
0.23,247,69,40,PLA,Medium,7.5,SLA,45,Passive,0
0.24,204,53,47,ABS,High,8.5,FDM,45,Fan,0
0.1,254,88,98,PETG,Medium,3.3,SLA,65,Fan,1
0.29,243,94,48,Nylon,Low,6.0,SLS,38,Passive,0
0.14,204,65,78,ABS,Low,9.7,SLA,21,Fan,0
0.15,205,82,47,PETG,High,8.5,SLS,61,Fan,1
0.12,223,63,98,Nylon,Medium,2.2,FDM,70,Passive,1
0.39,193,73,70,Nylon,Medium,3.8,FDM,40,Passive,0
0.38,202,51,100,ABS,Medium,4.6,SLA,41,Fan,1
0.18,239,84,62,PETG,Low,1.5,SLS,37,Passive,0
0.12,248,75,31,PETG,Medium,9.7,SLS,38,Fan,0
0.23,219,85,93,PLA,Medium,9.6,SLA,52,Active cooling,1
0.19,225,105,74,Nylon,Low,7.1,SLA,21,Fan,0
0.14,221,79,37,PETG,Medium,5.6,SLS,63,Active cooling,0
0.28,248,50,37,ABS,Low,1.2,FDM,69,Passive,1
0.11,258,78,86,Nylon,High,9.9,FDM,64,Passive,1
0.17,233,69,95,ABS,Medium,7.5,SLS,69,Fan,1
0.16,248,53,67,PLA,High,0.8,SLA,20,Passive,0
0.35,242,94,47,Nylon,High,7.9,SLA,43,Fan,0
0.17,191,107,70,PLA,Low,4.5,FDM,44,Passive,0
0.34,259,62,75,PLA,Low,3.2,SLA,47,Active cooling,1
0.38,214,99,55,PLA,High,2.3,SLS,60,Fan,1
0.28,198,60,75,Nylon,High,0.8,SLS,44,Fan,0
0.37,240,79,44,ABS,Low,3.1,FDM,33,Passive,0
0.16,226,87,49,PETG,Low,3.8,FDM,58,Passive,0
0.39,250,107,45,PLA,High,2.7,SLA,65,Active cooling,1
0.25,215,59,77,ABS,Low,3.7,SLS,21,Fan,0
0.38,217,82,49,PETG,Low,1.3,FDM,41,Active cooling,0
0.37,241,77,60,ABS,Low,7.0,FDM,20,Fan,0
0.13,246,110,100,Nylon,Medium,4.2,SLA,33,Active cooling,1
0.27,228,99,97,Nylon,Low,3.5,FDM,68,Fan,1
0.18,257,64,35,Nylon,Low,4.6,SLS,70,Fan,1
0.29,258,73,59,PLA,Low,7.0,FDM,31,Fan,1
0.38,259,71,57,PETG,High,3.8,SLS,69,Active cooling,1
0.29,202,93,65,ABS,Medium,1.2,FDM,68,Fan,1
0.14,194,81,78,PETG,Low,7.6,FDM,55,Fan,0
0.25,226,63,58,Nylon,Medium,0.8,FDM,69,Active cooling,0
0.34,201,81,31,ABS,Low,0.7,FDM,49,Active cooling,0
0.32,240,110,69,Nylon,High,1.2,SLS,20,Active cooling,0
0.27,205,96,97,Nylon,Low,9.9,SLA,61,Passive,1
0.12,242,98,80,PLA,Low,6.9,SLS,59,Fan,0
0.27,252,81,32,PETG,Low,3.3,SLA,48,Passive,1
0.11,237,65,70,ABS,Low,7.2,FDM,23,Passive,0
0.31,196,89,35,Nylon,Medium,4.2,SLA,34,Fan,0
0.39,220,95,60,PLA,High,7.2,SLA,22,Passive,0
0.3,226,97,74,Nylon,Low,8.9,SLS,20,Active cooling,0
0.31,226,101,77,ABS,High,8.2,SLS,30,Fan,0
0.34,221,64,89,Nylon,Low,0.6,SLA,61,Passive,1
0.22,193,110,95,PLA,Medium,1.7,SLS,59,Fan,1
0.16,199,95,97,ABS,High,3.0,FDM,55,Fan,1
0.13,215,94,69,PLA,Low,0.7,FDM,53,Active cooling,0
0.34,208,93,89,PETG,Low,6.8,FDM,48,Active cooling,1
0.25,218,89,45,Nylon,High,9.5,SLA,70,Fan,1
0.31,204,67,33,Nylon,Low,7.4,FDM,48,Passive,0
0.13,236,87,53,PETG,Low,7.4,FDM,58,Active cooling,0
0.11,209,92,58,PETG,High,4.0,SLA,31,Active cooling,0
0.15,248,110,41,PLA,High,6.6,FDM,58,Fan,1
0.26,244,105,75,PETG,Medium,0.7,SLA,32,Passive,0
0.17,196,84,65,ABS,Medium,5.9,SLS,65,Passive,1
0.27,194,52,43,ABS,Low,0.9,SLS,41,Active cooling,0
0.24,222,78,58,PETG,High,4.7,FDM,47,Fan,0
0.37,242,81,86,PETG,High,6.8,FDM,51,Passive,1
0.18,192,70,99,ABS,High,2.1,SLA,54,Passive,1
0.17,216,50,37,ABS,High,9.4,FDM,38,Passive,0
0.39,218,87,92,PETG,Low,1.7,SLS,24,Fan,1
0.13,225,73,35,PETG,Low,9.4,SLS,31,Active cooling,0
0.12,260,73,59,PLA,High,3.6,FDM,56,Active cooling,1
0.22,254,72,49,Nylon,Low,3.8,SLS,31,Active cooling,1
0.38,243,84,46,ABS,Low,7.1,SLA,40,Fan,0
0.18,244,110,94,PETG,High,2.8,SLS,41,Passive,1
0.12,196,84,94,PLA,Low,1.6,FDM,31,Fan,1
0.2,210,77,64,PETG,Low,5.6,SLS,41,Passive,0
0.11,198,54,54,Nylon,Medium,8.1,SLS,42,Passive,0
0.36,200,93,30,PLA,Medium,1.6,SLA,54,Fan,0
0.27,208,63,38,PETG,Medium,10.0,FDM,37,Fan,0
